id,食品名,エネルギー,たんぱく質,脂質,炭水化物
631,（たまねぎ類）　たまねぎ　りん茎　生,33,1,0.1,8.4
632,（たまねぎ類）　たまねぎ　りん茎　水さらし,24,0.6,0.1,6.1
633,（たまねぎ類）　たまねぎ　りん茎　ゆで,30,0.8,0.1,7.3
634,（たまねぎ類）　たまねぎ　りん茎　油いため,100,1.4,5.9,12
635,（たまねぎ類）　たまねぎ　りん茎　油いため　（あめ色たまねぎ）,208,3.2,6.8,34.1
636,（たまねぎ類）　赤たまねぎ　りん茎　生,34,0.9,0.1,9
637,（たまねぎ類）　葉たまねぎ　りん茎及び葉　生,33,1.8,0.4,7.6
638,たらのめ　若芽　生,27,4.2,0.2,4.3
639,たらのめ　若芽　ゆで,27,4,0.2,4.1
640,チコリ　若芽　生,17,1,Tr,3.9
641,ちぢみゆきな　葉　生,35,3.6,0.6,5.7
642,ちぢみゆきな　葉　ゆで,34,3.8,0.7,5.2
643,チンゲンサイ　葉　生,9,0.6,0.1,2
644,チンゲンサイ　葉　ゆで,11,0.9,0.1,2.4
645,チンゲンサイ　葉　油いため,36,0.8,3.2,2.2
646,つくし　胞子茎　生,31,3.5,0.1,8.1
647,つくし　胞子茎　ゆで,28,3.4,0.1,6.7
648,つるな　茎葉　生,15,1.8,0.1,2.8
649,つるにんじん　根　生,55,1,0.7,19.8
650,つるむらさき　茎葉　生,11,0.7,0.2,2.6
651,つるむらさき　茎葉　ゆで,12,0.9,0.2,3.2
652,つわぶき　葉柄　生,19,0.4,0,5.6
653,つわぶき　葉柄　ゆで,14,0.3,0,4.4
654,とうがらし　葉･果実　生,32,3.4,0.1,7.2
655,とうがらし　葉･果実　油いため,81,4,4.9,8.5
656,とうがらし　果実　生,72,3.9,3.4,16.3
657,とうがらし　果実　乾,270,14.7,12,58.4
658,とうがん　果実　生,15,0.5,0.1,3.8
659,とうがん　果実　ゆで,15,0.6,0.1,3.7
660,（とうもろこし類）　スイートコーン　未熟種子　生,89,3.6,1.7,16.8
661,（とうもろこし類）　スイートコーン　未熟種子　ゆで,95,3.5,1.7,18.6
662,（とうもろこし類）　スイートコーン　未熟種子　電子レンジ調理,104,4.2,2.2,19.1
663,（とうもろこし類）　スイートコーン　未熟種子　穂軸つき　冷凍,96,3.5,1.5,18.7
664,（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍,91,2.9,1.3,19.8
665,（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　ゆで,92,2.8,1.5,18.7
666,（とうもろこし類）　スイートコーン　未熟種子　カーネル　冷凍　油いため,125,2.9,5.8,18.9
667,（とうもろこし類）　スイートコーン　缶詰　クリームスタイル,82,1.7,0.5,18.6
668,（とうもろこし類）　スイートコーン　缶詰　ホールカーネルスタイル,78,2.3,0.5,17.8
669,（とうもろこし類）　ヤングコーン　幼雌穂　生,29,2.3,0.2,6
670,（トマト類）　赤色トマト　果実　生,20,0.7,0.1,4.7
671,（トマト類）　赤色ミニトマト　果実　生,30,1.1,0.1,7.2
672,（トマト類）　黄色トマト　果実　生,18,1.1,0.4,3.2
673,（トマト類）　ドライトマト,291,14.2,2.1,67.3
674,（トマト類）　加工品　ホール　食塩無添加,21,0.9,0.2,4.4
675,（トマト類）　加工品　トマトジュース　食塩添加,15,0.7,0.1,4
676,（トマト類）　加工品　トマトジュース　食塩無添加,18,0.7,0.1,4
677,（トマト類）　加工品　ミックスジュース　食塩添加,18,0.6,0,4.3
678,（トマト類）　加工品　ミックスジュース　食塩無添加,18,0.6,0,4.3
679,トレビス　葉　生,17,1.1,0.2,3.9
680,とんぶり　ゆで,89,6.1,3.5,12.9
681,ながさきはくさい　葉　生,12,1.3,0.1,2.6
682,ながさきはくさい　葉　ゆで,18,2.2,0.1,3.4
683,（なす類）　なす　果実　生,18,1.1,0.1,5.1
684,（なす類）　なす　果実　ゆで,17,1,0.1,4.5
685,（なす類）　なす　果実　油いため,73,1.5,5.8,6.3
686,（なす類）　なす　果実　天ぷら,165,1.6,14,12
687,（なす類）　べいなす　果実　生,20,1.1,0.1,5.3
688,（なす類）　べいなす　果実　素揚げ,177,1,17,6.7
689,（なす類）　漬物　塩漬,22,1.4,0.1,5.2
690,（なす類）　漬物　ぬかみそ漬,27,1.7,0.1,6.1
691,（なす類）　漬物　こうじ漬,87,5.5,0.1,18.2
692,（なす類）　漬物　からし漬,127,2.6,0.2,30.7
693,（なす類）　漬物　しば漬,27,1.4,0.2,7
694,なずな　葉　生,35,4.3,0.1,7
695,（なばな類）　和種なばな　花らい・茎　生,34,4.4,0.2,5.8
696,（なばな類）　和種なばな　花らい・茎　ゆで,28,4.7,0.1,4.3
697,（なばな類）　洋種なばな　茎葉　生,36,4.1,0.4,6
698,（なばな類）　洋種なばな　茎葉　ゆで,30,3.6,0.4,5.3
699,にがうり　果実　生,15,1,0.1,3.9
700,にがうり　果実　油いため,47,1.2,3.3,4.6
701,（にら類）　にら　葉　生,18,1.7,0.3,4
702,（にら類）　にら　葉　ゆで,27,2.6,0.5,5.7
703,（にら類）　にら　葉　油いため,69,1.9,5.7,4.9
704,（にら類）　花にら　花茎・花らい　生,27,1.9,0.2,5.9
705,（にら類）　黄にら　葉　生,18,2.1,0.1,3.3
706,（にんじん類）　葉にんじん　葉　生,16,1.1,0.2,3.7
707,（にんじん類）　にんじん　根　皮つき　生,35,0.7,0.2,9.3
708,（にんじん類）　にんじん　根　皮つき　ゆで,29,0.6,0.2,8.4
709,（にんじん類）　にんじん　根　皮なし　生,30,0.8,0.1,8.7
710,（にんじん類）　にんじん　根　皮なし　ゆで,28,0.7,0.1,8.5
711,（にんじん類）　にんじん　根　皮なし　油いため,103,1.1,6.4,12.4
712,（にんじん類）　にんじん　根　皮なし　素揚げ,87,1,3.5,13.9
713,（にんじん類）　にんじん　根　皮　生,26,0.7,0.2,7.3
714,（にんじん類）　にんじん　根　冷凍,30,0.8,0.2,8.2
715,（にんじん類）　にんじん　根　冷凍　ゆで,24,0.7,0.2,7
716,（にんじん類）　にんじん　根　冷凍　油いため,65,0.9,4,9.3
717,（にんじん類）　にんじん　グラッセ,53,0.7,1.4,12.7
718,（にんじん類）　にんじん　ジュース　缶詰,29,0.6,0.1,6.7
719,（にんじん類）　きんとき　根　皮つき　生,39,1.8,0.2,9.6
720,（にんじん類）　きんとき　根　皮つき　ゆで,37,1.9,0.2,9.2
721,（にんじん類）　きんとき　根　皮なし　生,40,1.8,0.3,9.7
722,（にんじん類）　きんとき　根　皮なし　ゆで,40,1.9,0.4,9.6
723,（にんじん類）　ミニキャロット　根　生,26,0.7,0.2,7.5
724,（にんにく類）　にんにく　りん茎　生,129,6.4,0.9,27.5
725,（にんにく類）　にんにく　りん茎　油いため,191,8.2,5.9,30.6
726,（にんにく類）　茎にんにく　花茎　生,44,1.9,0.3,10.6
727,（にんにく類）　茎にんにく　花茎　ゆで,43,1.7,0.2,10.7
728,（ねぎ類）　根深ねぎ　葉　軟白　生,35,1.4,0.1,8.3
729,（ねぎ類）　根深ねぎ　葉　軟白　ゆで,28,1.3,0.1,6.8
730,（ねぎ類）　根深ねぎ　葉　軟白　油いため,77,1.6,4.4,9.5
731,（ねぎ類）　葉ねぎ　葉　生,29,1.9,0.3,6.5
732,（ねぎ類）　葉ねぎ　葉　油いため,77,2.1,5.2,7.9
733,（ねぎ類）　こねぎ　葉　生,26,2,0.3,5.4
734,のざわな　葉　生,14,0.9,0.1,3.5
735,のざわな　漬物　塩漬,17,1.2,0.1,4.1
736,のざわな　漬物　調味漬,22,1.7,0,5.4
737,のびる　りん茎葉　生,63,3.2,0.2,15.5
738,はくさい　結球葉　生,13,0.8,0.1,3.2
739,はくさい　結球葉　ゆで,13,0.9,0.1,2.9
740,はくさい　漬物　塩漬,17,1.5,0.1,3.3
741,はくさい　漬物　キムチ,27,2.3,0.1,5.4
742,パクチョイ　葉　生,15,1.6,0.2,2.7
743,バジル　葉　生,21,2,0.6,4
744,パセリ　葉　生,34,4,0.7,7.8
745,はつかだいこん　根　生,13,0.8,0.1,3.1
746,はなっこりー　生,34,3.6,0.5,5.4
747,はやとうり　果実　白色種　生,20,0.6,0.1,4.9
748,はやとうり　果実　白色種　塩漬,17,0.6,Tr,4.4
749,はやとうり　果実　緑色種　生,21,0.6,0.1,4.9
750,ビーツ　根　生,38,1.6,0.1,9.3
751,ビーツ　根　ゆで,42,1.5,0.1,10.2
752,（ピーマン類）　青ピーマン　果実　生,20,0.9,0.2,5.1
753,（ピーマン類）　青ピーマン　果実　油いため,54,0.9,4.3,5.4
754,（ピーマン類）　赤ピーマン　果実　生,28,1,0.2,7.2
755,（ピーマン類）　赤ピーマン　果実　油いため,69,1,4.3,7.6
756,（ピーマン類）　オレンジピーマン　果実　生,19,0.9,0.3,4.2
757,（ピーマン類）　オレンジピーマン　果実　油いため,81,1.1,5.1,7.6
758,（ピーマン類）　黄ピーマン　果実　生,28,0.8,0.2,6.6
759,（ピーマン類）　黄ピーマン　果実　油いため,61,0.8,4.3,6.9
760,（ピーマン類）　トマピー　果実　生,33,1,0.2,7.5
761,ひのな　根・茎葉　生,17,1,Tr,4.7
762,ひのな　根・茎葉　甘酢漬,70,1.4,0.5,17.3
763,ひろしまな　葉　生,19,1.5,0.2,4.2
764,ひろしまな　塩漬,15,1.2,0.2,3.3
765,（ふき類）　ふき　葉柄　生,11,0.3,0,3
766,（ふき類）　ふき　葉柄　ゆで,7,0.3,0,1.9
767,（ふき類）　ふきのとう　花序　生,38,2.5,0.1,10
768,（ふき類）　ふきのとう　花序　ゆで,31,2.5,0.1,7
769,ふじまめ　若ざや　生,32,2.5,0.1,7.4
770,ふだんそう　葉　生,17,2,0.1,3.7
771,ふだんそう　葉　ゆで,26,2.8,0.1,5.4
772,ブロッコリー　花序　生,37,5.4,0.6,6.6
773,ブロッコリー　花序　ゆで,30,3.9,0.4,5.2
774,ブロッコリー　花序　電子レンジ調理,56,5.7,0.7,7
775,ブロッコリー　花序　焼き,83,9.9,1.2,8.4
776,ブロッコリー　花序　油いため,109,6.9,6.3,6.1
777,ブロッコリー　芽ばえ　生,18,1.9,0.6,2.6
778,へちま　果実　生,17,0.8,0.1,3.8
779,へちま　果実　ゆで,19,1.6,0.1,3.7
780,ほうれんそう　葉　通年平均　生,18,2.2,0.4,3.1
781,ほうれんそう　葉　通年平均　ゆで,23,2.6,0.5,4
782,ほうれんそう　葉　通年平均　油いため,91,3.8,8.1,4.4
783,ほうれんそう　葉　夏採り　生,18,2.2,0.4,3.1
784,ほうれんそう　葉　夏採り　ゆで,23,2.6,0.5,4
785,ほうれんそう　葉　冬採り　生,18,2.2,0.4,3.1
786,ほうれんそう　葉　冬採り　ゆで,23,2.6,0.5,4
787,ほうれんそう　葉　冷凍,22,2.9,0.3,3.4
788,ほうれんそう　葉　冷凍　ゆで,26,3.7,0.5,3.8
789,ほうれんそう　葉　冷凍　油いため,67,4,4.5,5.4
790,ホースラディシュ　根茎　生,69,3.1,0.3,17.7
791,まこも　茎　生,19,1.3,0.2,4.4
792,みずかけな　葉　生,25,2.9,0.1,4.7
793,みずかけな　塩漬,34,4.9,Tr,5.7
794,みずな　葉　生,23,2.2,0.1,4.8
795,みずな　葉　ゆで,21,2,0.1,4.7
796,みずな　塩漬,26,2,0.1,5.9
797,（みつば類）　切りみつば　葉　生,16,1,0.1,4
798,（みつば類）　切りみつば　葉　ゆで,12,0.9,0.1,3.3
799,（みつば類）　根みつば　葉　生,19,1.9,0.1,4.1
800,（みつば類）　根みつば　葉　ゆで,19,2.3,0.1,3.9
801,（みつば類）　糸みつば　葉　生,12,0.9,0.1,2.9
802,（みつば類）　糸みつば　葉　ゆで,14,1.1,0,4
803,みぶな　葉　生,14,1.1,0.3,2.9
804,（みょうが類）　みょうが　花穂　生,11,0.9,0.1,2.6
805,（みょうが類）　みょうがたけ　茎葉　生,6,0.4,0.1,1.5
806,むかご　肉芽　生,87,2.9,0.2,20.6
807,めキャベツ　結球葉　生,52,5.7,0.1,9.9
808,めキャベツ　結球葉　ゆで,51,5.3,0.1,9.8
809,めたで　芽ばえ　生,39,3,0.5,8.8
810,（もやし類）　アルファルファもやし　生,11,1.6,0.1,2
811,（もやし類）　だいずもやし　生,29,3.7,1.5,2.3
812,（もやし類）　だいずもやし　ゆで,27,2.9,1.6,2.2
813,（もやし類）　ブラックマッペもやし　生,17,2.2,Tr,2.8
814,（もやし類）　ブラックマッペもやし　ゆで,13,1.3,Tr,2.7
815,（もやし類）　ブラックマッペもやし　油いため,41,2.3,0.9,5.8
816,（もやし類）　りょくとうもやし　生,15,1.7,0.1,2.6
817,（もやし類）　りょくとうもやし　ゆで,12,1.6,0,2.3
818,モロヘイヤ　茎葉　生,36,4.8,0.5,6.3
819,モロヘイヤ　茎葉　ゆで,24,3,0.4,4
820,やぶまめ　生,219,15.5,6.5,29.5
821,やまごぼう　みそ漬,66,4.1,0.1,15.6
822,ゆりね　りん茎　生,119,3.8,0.1,28.3
823,ゆりね　りん茎　ゆで,117,3.4,0.1,28.7
824,ようさい　茎葉　生,17,2.2,0.1,3.1
825,ようさい　茎葉　ゆで,18,2.2,0.1,4.1
826,よめな　葉　生,40,3.4,0.2,10
827,よもぎ　葉　生,43,5.2,0.3,8.7
828,よもぎ　葉　ゆで,37,4.8,0.1,8.2
829,らっかせい　未熟豆　生,306,12,24.2,12.4
830,らっかせい　未熟豆　ゆで,298,11.9,23.5,12.3
831,（らっきょう類）　らっきょう　りん茎　生,83,1.4,0.2,29.3
832,（らっきょう類）　らっきょう　甘酢漬,117,0.4,0.3,29.4
833,（らっきょう類）　エシャレット　りん茎　生,59,2.3,0.2,17.8
834,リーキ　りん茎葉　生,30,1.6,0.1,6.9
835,リーキ　りん茎葉　ゆで,28,1.3,0.1,6.8
836,ルッコラ　葉　生,17,1.9,0.4,3.1
837,ルバーブ　葉柄　生,23,0.7,0.1,6
838,ルバーブ　葉柄　ゆで,14,0.5,0.1,4.6
839,（レタス類）　レタス　土耕栽培　結球葉　生,11,0.6,0.1,2.8
840,（レタス類）　レタス　水耕栽培　結球葉　生,13,0.8,0.2,2.9
841,（レタス類）　サラダな　葉　生,10,1,0.2,2.7
842,（レタス類）　リーフレタス　葉　生,16,1.4,0.1,3.3
843,（レタス類）　サニーレタス　葉　生,15,1.2,0.2,3.2
844,（レタス類）　サンチュ　葉　生,14,1.2,0.4,2.5
845,（レタス類）　コスレタス　葉　生,16,1.2,0.2,3.4
846,れんこん　根茎　生,66,1.9,0.1,15.5
847,れんこん　根茎　ゆで,66,1.3,0.1,16.1
848,れんこん　甘酢れんこん,66,0.6,0.2,16.5
849,わけぎ　葉　生,30,1.6,0,7.4
850,わけぎ　葉　ゆで,29,1.9,0,6.9
851,わさび　根茎　生,89,5.6,0.2,18.4
852,わさび　わさび漬,140,7.1,0.5,28
853,わらび　生わらび　生,19,2.4,0.1,4
854,わらび　生わらび　ゆで,13,1.5,0.1,3
855,わらび　干しわらび　乾,216,20,0.7,61.4
856,（その他）　ミックスベジタブル　冷凍,67,3,0.7,15.1
857,（その他）　ミックスベジタブル　冷凍　ゆで,65,3.1,0.8,14.6
858,（その他）　ミックスベジタブル　冷凍　油いため,108,3.3,4.9,15.7
859,（その他）　野菜ミックスジュース　通常タイプ,21,0.8,0.1,4.7
860,（その他）　野菜ミックスジュース　濃縮タイプ,36,1,0.3,7.8
861,あけび　果肉　生,89,0.5,0.1,22
862,あけび　果皮　生,32,0.3,0.3,8.6
863,アサイー　冷凍　無糖,62,0.9,5.3,5
864,アセロラ　酸味種　生,36,0.7,0.1,9
865,アセロラ　甘味種　生,36,0.7,0.1,9
866,アセロラ　果実飲料　10%果汁入り飲料,42,0.1,0,10.5
867,アテモヤ　生,81,1.8,0.4,19.4
868,アボカド　生,176,2.1,17.5,7.9
869,あんず　生,37,1,0.3,8.5
870,あんず　乾,296,9.2,0.4,70.4
871,あんず　缶詰,79,0.5,0.4,18.9
872,あんず　ジャム　高糖度,252,0.3,0.1,64.9
873,あんず　ジャム　低糖度,202,0.4,0.1,50.5
874,いちご　生,31,0.9,0.1,8.5
875,いちご　ジャム　高糖度,250,0.4,0.1,63.3
876,いちご　ジャム　低糖度,194,0.5,0.1,48.4
877,いちご　乾,329,0.5,0.2,82.8
878,いちじく　生,57,0.6,0.1,14.3
879,いちじく　乾,272,3,1.1,75.3
880,いちじく　缶詰,78,0.5,0.1,19.4
881,うめ　生,33,0.7,0.5,7.9
882,うめ　梅漬　塩漬,27,0.7,0.4,6.7
883,うめ　梅漬　調味漬,45,1.5,0.5,10.5
884,うめ　梅干し　塩漬,29,0.9,0.7,8.6
885,うめ　梅干し　調味漬,90,1.5,0.6,21.1
886,うめ　梅びしお,196,0.7,0.5,48.1
887,うめ　果実飲料　20%果汁入り飲料,49,Tr,Tr,12.3
888,オリーブ　塩漬　グリーンオリーブ,148,1,15,4.5
889,オリーブ　塩漬　ブラックオリーブ,121,0.8,12.3,3.4
890,オリーブ　塩漬　スタッフドオリーブ,141,0.8,14.3,4.2
891,かき　甘がき　生,63,0.4,0.2,15.9
892,かき　渋抜きがき　生,59,0.5,0.1,16.9
893,かき　干しがき,274,1.5,1.7,71.3
894,かりん　生,58,0.4,0.1,18.3
895,（かんきつ類）　いよかん　砂じょう　生,50,0.9,0.1,11.8
896,（かんきつ類）　うんしゅうみかん　じょうのう　早生　生,49,0.5,0.1,11.9
897,（かんきつ類）　うんしゅうみかん　じょうのう　普通　生,49,0.7,0.1,12
898,（かんきつ類）　うんしゅうみかん　砂じょう　早生　生,47,0.5,0.1,11.3
899,（かんきつ類）　うんしゅうみかん　砂じょう　普通　生,49,0.7,0.1,11.5
900,（かんきつ類）　うんしゅうみかん　果実飲料　ストレートジュース,45,0.5,0.1,10.6
901,（かんきつ類）　うんしゅうみかん　果実飲料　濃縮還元ジュース,42,0.5,0.1,9.9
902,（かんきつ類）　うんしゅうみかん　果実飲料　果粒入りジュース,53,0.2,Tr,13
903,（かんきつ類）　うんしゅうみかん　果実飲料　50%果汁入り飲料,59,0.2,Tr,14.7
904,（かんきつ類）　うんしゅうみかん　果実飲料　20%果汁入り飲料,50,0.1,Tr,12.4
905,（かんきつ類）　うんしゅうみかん　缶詰　果肉,63,0.5,0.1,15.3
906,（かんきつ類）　うんしゅうみかん　缶詰　液汁,63,0.3,0.1,15.3
907,（かんきつ類）　オレンジ　ネーブル　砂じょう　生,48,0.9,0.1,11.8
908,（かんきつ類）　オレンジ　バレンシア　米国産　砂じょう　生,42,1,0.1,9.8
909,（かんきつ類）　オレンジ　バレンシア　果実飲料　ストレートジュース,45,0.8,Tr,11
910,（かんきつ類）　オレンジ　バレンシア　果実飲料　濃縮還元ジュース,46,0.7,0.1,10.7
911,（かんきつ類）　オレンジ　バレンシア　果実飲料　50%果汁入り飲料,46,0.4,0.2,10.8
912,（かんきつ類）　オレンジ　バレンシア　果実飲料　30%果汁入り飲料,41,0.2,Tr,10
913,（かんきつ類）　オレンジ　バレンシア　マーマレード　高糖度,233,0.2,0.1,63.2
914,（かんきつ類）　オレンジ　バレンシア　マーマレード　低糖度,190,0.3,0.1,47.7
915,（かんきつ類）　オレンジ　福原オレンジ　砂じょう　生,43,1,0.1,9.8
916,（かんきつ類）　オロブランコ　砂じょう　生,43,0.8,0.1,10.1
917,（かんきつ類）　かぼす　果汁　生,36,0.4,0.1,8.5
918,（かんきつ類）　かわちばんかん　砂じょう　生,38,0.7,0.2,8.8
919,（かんきつ類）　きよみ　砂じょう　生,45,0.8,0.2,10.3
920,（かんきつ類）　きんかん　全果　生,67,0.5,0.7,17.5
921,（かんきつ類）　グレープフルーツ　白肉種　砂じょう　生,40,0.9,0.1,9.6
922,（かんきつ類）　グレープフルーツ　紅肉種　砂じょう　生,40,0.9,0.1,9.6
923,（かんきつ類）　グレープフルーツ　果実飲料　ストレートジュース,44,0.6,0.1,10.3
924,（かんきつ類）　グレープフルーツ　果実飲料　濃縮還元ジュース,38,0.7,0.1,8.8
925,（かんきつ類）　グレープフルーツ　果実飲料　50%果汁入り飲料,45,0.3,Tr,11.1
926,（かんきつ類）　グレープフルーツ　果実飲料　20%果汁入り飲料,39,0.1,Tr,9.7
927,（かんきつ類）　グレープフルーツ　缶詰,60,0.5,Tr,17.1
928,（かんきつ類）　さんぼうかん　砂じょう　生,47,0.7,0.3,10.9
929,（かんきつ類）　シークヮーサー　果汁　生,35,0.8,0.1,7.9
930,（かんきつ類）　シークヮーサー　果実飲料　10%果汁入り飲料,48,0.1,Tr,11.8
931,（かんきつ類）　しらぬひ　砂じょう　生,56,0.8,0.2,12.9
932,（かんきつ類）　すだち　果皮　生,55,1.8,0.3,16.4
933,（かんきつ類）　すだち　果汁　生,29,0.5,0.1,6.6
934,（かんきつ類）　せとか　砂じょう　生,50,0.8,0.2,11.7
935,（かんきつ類）　セミノール　砂じょう　生,53,1.1,0.1,12.4
936,（かんきつ類）　だいだい　果汁　生,35,0.3,0.2,8
937,（かんきつ類）　なつみかん　砂じょう　生,42,0.9,0.1,10
938,（かんきつ類）　なつみかん　缶詰,80,0.5,0.1,19.4
939,（かんきつ類）　はっさく　砂じょう　生,47,0.8,0.1,11.5
940,（かんきつ類）　はるみ　砂じょう　生,52,0.9,0.2,12.1
941,（かんきつ類）　ひゅうがなつ　じょうのう及びアルベド　生,46,0.6,0.1,11.7
942,（かんきつ類）　ひゅうがなつ　砂じょう　生,35,0.6,0.1,8.3
943,（かんきつ類）　ぶんたん　砂じょう　生,41,0.7,0.1,9.8
944,（かんきつ類）　ぶんたん　ざぼん漬,338,0.2,0.1,85.5
945,（かんきつ類）　ぽんかん　砂じょう　生,42,0.9,0.1,9.9
946,（かんきつ類）　ゆず　果皮　生,50,1.2,0.5,14.2
947,（かんきつ類）　ゆず　果汁　生,30,0.5,0.1,7
948,（かんきつ類）　ライム　果汁　生,39,0.4,0.1,9.3
949,（かんきつ類）　レモン　全果　生,43,0.9,0.7,12.5
950,（かんきつ類）　レモン　果汁　生,24,0.4,0.2,8.6
951,キウイフルーツ　緑肉種　生,51,1,0.2,13.4
952,キウイフルーツ　黄肉種　生,63,1.1,0.2,14.9
953,きはだ　実　乾,378,7.3,9.8,65.1
954,キワノ　生,41,1.5,0.9,8
955,グァバ　赤肉種　生,33,0.6,0.1,9.9
956,グァバ　白肉種　生,33,0.6,0.1,9.9
957,グァバ　果実飲料　20%果汁入り飲料　（ネクター）,49,0.1,0.1,12.3
958,グァバ　果実飲料　10%果汁入り飲料,50,0.1,0.1,12.3
959,くこ　実　乾,387,12.3,4.1,75.3
960,ぐみ　生,72,1.3,0.2,17.2
961,ココナッツ　ココナッツウォーター,22,0.2,0.1,5
962,ココナッツ　ココナッツミルク,157,1.9,16,2.8
963,ココナッツ　ナタデココ,80,0,Tr,20.2
964,さくらんぼ　国産　生,64,1,0.2,15.2
965,さくらんぼ　米国産　生,64,1.2,0.1,17.1
966,さくらんぼ　米国産　缶詰,70,0.6,0.1,17.6
967,ざくろ　生,63,0.2,Tr,15.5
968,すいか　赤肉種　生,41,0.6,0.1,9.5
969,すいか　黄肉種　生,41,0.6,0.1,9.5
970,（すぐり類）　カシス　冷凍,62,1.6,1.6,13.4
971,（すぐり類）　グーズベリー　生,51,1,0.1,13.2
972,スターフルーツ　生,30,0.7,0.1,7.5
973,（すもも類）　にほんすもも　生,46,0.6,1,9.4
974,（すもも類）　プルーン　生,49,0.7,0.1,12.6
975,（すもも類）　プルーン　乾,211,2.4,0.2,62.3
976,チェリモヤ　生,82,1.3,0.3,19.8
977,ドラゴンフルーツ　生,52,1.4,0.3,11.8
978,ドリアン　生,140,2.3,3.3,27.1
979,（なし類）　日本なし　生,38,0.3,0.1,11.3
980,（なし類）　日本なし　缶詰,76,0.1,0.1,19.1
981,（なし類）　中国なし　生,49,0.2,0.1,12.7
982,（なし類）　西洋なし　生,48,0.3,0.1,14.4
983,（なし類）　西洋なし　缶詰,79,0.2,0.1,20.7
984,なつめ　乾,294,3.9,2,71.4
985,なつめやし　乾,281,2.2,0.2,71.3
986,パインアップル　生,54,0.6,0.1,13.7
987,パインアップル　焼き,74,0.9,0.2,20.1
988,パインアップル　果実飲料　ストレートジュース,46,0.3,0.1,11
989,パインアップル　果実飲料　濃縮還元ジュース,45,0.1,0.1,11.1
990,パインアップル　果実飲料　50%果汁入り飲料,50,0.3,0.1,12.1
991,パインアップル　果実飲料　10%果汁入り飲料,50,Tr,Tr,12.4
992,パインアップル　缶詰,76,0.4,0.1,20.3
993,パインアップル　砂糖漬,349,0.5,0.2,86.8
994,ハスカップ　生,55,0.7,0.6,12.8
995,パッションフルーツ　果汁　生,67,0.8,0.4,16.2
996,バナナ　生,93,1.1,0.2,22.5
997,バナナ　乾,314,3.8,0.4,78.5
998,パパイア　完熟　生,33,0.5,0.2,9.5
999,パパイア　未熟　生,35,1.3,0.1,9.4
1000,びわ　生,41,0.3,0.1,10.6
1001,びわ　缶詰,80,0.3,0.1,19.8
1002,ぶどう　皮なし　生,58,0.4,0.1,15.7
1003,ぶどう　皮つき　生,69,0.6,0.2,16.9
1004,ぶどう　干しぶどう,324,2.7,0.2,80.3
1005,ぶどう　果実飲料　ストレートジュース,54,0.3,0.2,14.3
1006,ぶどう　果実飲料　濃縮還元ジュース,46,0.3,0.3,12
1007,ぶどう　果実飲料　70%果汁入り飲料,52,0.2,Tr,12.9
1008,ぶどう　果実飲料　10%果汁入り飲料,52,Tr,Tr,13.1
1009,ぶどう　缶詰,83,0.4,0.1,20.4
1010,ぶどう　ジャム,189,0.5,0.1,47.5
1011,ブルーベリー　生,48,0.5,0.1,12.9
1012,ブルーベリー　ジャム,174,0.7,0.3,43.8
1013,ブルーベリー　乾,280,2.7,1.9,72.5
1014,ホワイトサポテ　生,73,1.5,0.1,18.9
1015,まくわうり　黄肉種　生,34,0.8,0.1,7.8
1016,まくわうり　白肉種　生,34,0.8,0.1,7.8
1017,マルメロ　生,48,0.3,0.1,15.1
1018,マンゴー　生,68,0.6,0.1,16.9
1019,マンゴー　ドライマンゴー,339,3.1,0.7,84.9
1020,マンゴスチン　生,71,0.6,0.2,17.5
1021,メロン　温室メロン　生,40,1.1,0.1,10.3
1022,メロン　露地メロン　緑肉種　生,45,1,0.1,10.4
1023,メロン　露地メロン　赤肉種　生,45,1,0.1,10.4
1024,（もも類）　もも　白肉種　生,38,0.6,0.1,10.2
1025,（もも類）　もも　黄肉種　生,48,0.5,0.2,13.4
1026,（もも類）　もも　果実飲料　30%果汁入り飲料　（ネクター）,46,0.2,0.1,11.6
1027,（もも類）　もも　缶詰　白肉種　果肉,82,0.5,0.1,20.6
1028,（もも類）　もも　缶詰　黄肉種　果肉,83,0.5,0.1,20.6
1029,（もも類）　もも　缶詰　液汁,81,0.3,0.1,19.8
1030,（もも類）　ネクタリン　生,39,0.7,0.3,10.7
1031,やまもも　生,47,0.5,0.2,11.3
1032,ライチー　生,61,1,0.1,16.4
1033,ラズベリー　生,36,1.1,0.1,10.2
1034,りゅうがん　乾,310,5.1,0.4,72.9
1035,りんご　皮なし　生,53,0.1,0.2,15.5
1036,りんご　皮つき　生,56,0.2,0.3,16.2
1037,りんご　皮つき　焼き,86,0.2,0.4,21.9
1038,りんご　果実飲料　ストレートジュース,43,0.2,0.1,11.8
1039,りんご　果実飲料　濃縮還元ジュース,47,0.1,0.2,11.4
1040,りんご　果実飲料　50%果汁入り飲料,46,0.1,Tr,11.5
1041,りんご　果実飲料　30%果汁入り飲料,46,Tr,Tr,11.4
1042,りんご　缶詰,81,0.3,0.1,20.1
1043,りんご　ジャム,203,0.2,0.1,52.7
1044,えのきたけ　生,34,2.7,0.2,7.6
1045,えのきたけ　ゆで,34,2.8,0.1,7.8
1046,えのきたけ　油いため,71,3,3.9,8.8
