id,食品名,エネルギー,たんぱく質,脂質,炭水化物
1705,＜畜肉類＞　うし　［輸入牛肉］　サーロイン　脂身つき　生,273,17.4,23.7,0.4
1706,＜畜肉類＞　うし　［輸入牛肉］　サーロイン　皮下脂肪なし　生,218,19.1,16.5,0.4
1707,＜畜肉類＞　うし　［輸入牛肉］　サーロイン　赤肉　生,127,22,4.4,0.5
1708,＜畜肉類＞　うし　［輸入牛肉］　ばら　脂身つき　生,338,14.4,32.9,0.2
1709,＜畜肉類＞　うし　［輸入牛肉］　もも　脂身つき　生,148,19.6,8.6,0.4
1710,＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　生,133,20,6.7,0.4
1711,＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　ゆで,204,30,11,0.2
1712,＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　焼き,205,28,14.1,0.4
1713,＜畜肉類＞　うし　［輸入牛肉］　もも　赤肉　生,117,21.2,4.3,0.4
1714,＜畜肉類＞　うし　［輸入牛肉］　もも　脂身　生,580,6.3,64.4,0.2
1715,＜畜肉類＞　うし　［輸入牛肉］　そともも　脂身つき　生,197,18.7,14.3,0.3
1716,＜畜肉類＞　うし　［輸入牛肉］　そともも　皮下脂肪なし　生,178,19.3,11.9,0.3
1717,＜畜肉類＞　うし　［輸入牛肉］　そともも　赤肉　生,117,21.2,3.9,0.3
1718,＜畜肉類＞　うし　［輸入牛肉］　ランプ　脂身つき　生,214,18.4,16.4,0.4
1719,＜畜肉類＞　うし　［輸入牛肉］　ランプ　皮下脂肪なし　生,174,19.7,11.1,0.5
1720,＜畜肉類＞　うし　［輸入牛肉］　ランプ　赤肉　生,112,21.6,3,0.5
1721,＜畜肉類＞　うし　［輸入牛肉］　ヒレ　赤肉　生,123,20.5,4.8,0.3
1722,＜畜肉類＞　うし　［子牛肉］　リブロース　皮下脂肪なし　生,94,21.7,0.9,0.3
